vicCeda,vi+Ceda
sarpiHzu,sarpiH+su
vAyuzu,vAyu+su
uzitaH,u+sitaH
aBizuRoti,aBi+sunoti
vizaditi,vi+saditi
parizwaBnAti,pari+staBnAti
avazwaByAste,ava+sTaByAste
vizvaRati,vi+svanati
parizevate,pari+sevate
anuzyandate,anu+syandate
vizkantA,vi+skantA
parizkantA,pari+skantA
parizkanda,pari+skanda
nizzPurati,nis+sPurati
vizkamBitA,vi+skamBitA
aBinizwAnaH,aBinis+stAnaH
aBizyAt,aBi+syAt
suzUtiH,su+sUtiH
nizRAtaH,ni+snAtaH
pratizRAtaH,prati+snAtaH
prazWa,pra+sTa
vizwAra,vi+stAra
vizWalam,vi+sTalam
harizeRaH,hari+senaH
BaraRizeRaH,BaraRi+senaH
nizwapatiH,nis+tapatiH
aBI zu,aBI+su
pftanAzAham,pftanA+sAham
aBizasAda,aBi+sasAda
nyazIdat,ni+asIdat
pUzRA,pUz+nA
rAmeRa,rAme+na
vftrahaRaH,vftra+hanaH
pariRamati,pari+namati
prahiRutaH,pra+hinutaH
pravapARi,pravapa+Ani
praRipatati,pra+nipatati
praRipacati,pra+nipacati
prARiti,pra+aniti
prAR,pra+an
prahaRyate,pra+hanyate
prahaRvaH,pra+hanvaH
rakzARaH,rakzA+naH
praRaH,pra+naH
parimARam,pari+mAnam
prayApaRam,pra+yApanam
prakopaRam,pra+kopanam
preNKaRam,pra+iNKanam
praRikzaRam,pra+nikzaRam
vfkzAn,vfkza+an
yajYaH,yaj+naH
duzwaH,dus+waH
vizRuH,viz+nuH
pezwA,pez+tA
uqqInaH,ud+qInaH
karttavyam,kar+tavyam
kartavyam,kar+tavyam
akzadarSaH,akzadar+SaH
vfdDiH,vfD+DiH
SaNkA,SaM+kA
utTAnam,ud+sTAnam
kfzRarDiH,kfzRar+DDiH
svacCandaH,sva+CandaH
mAcCidat,mA+Cidat
lakzmIcCAyA,lakzmI+CAyA
pratyekaH,prati+ekaH
nadyatra,nadI+atra
maDvatra,maDu+atra
vaDvAjYA,vaDU+AjYA
mAtrAjYA,mAtf+AjYA
lAkftiH,x+AkftiH
PalayicCA,Pale+icCA
tasmAyetat,tasmE+etat
tAvekadA,tO+ekadA
gavyUtiH,go+yUtiH
ko'sicat,kas+asicat
devendraH,deva+indraH
paropakAraH,para+upakAraH
devarziH,deva+fziH
tavalkAraH,tava+xkAraH
atrEkaH,atra+ekaH
devESvaryam,deva+ESvaryam
taRqulOdanam,taRqula+odanam
devOdAryam,deva+OdAryam
prazWOhaH,prazWa+UhaH
viSvOhaH,viSva+UhaH
akzOhiRI,akza+UhinI
svEraH,sva+IraH
SakanDuH,Saka+anDuH
manIzA,manas+IzA
kulawA,kula+awA
sImantaH,sIma+antaH
sAraNgaH,sAra+aNgaH
sTUlotuH,sTUla+otuH
bimbozWaH,bimba+ozWaH
himAlayaH,hima+AlayaH
girISaH,giri+ISaH
vizRUdayaH,vizRu+udayaH
hotFkAraH,hotf+fkAraH
sevate'ham,sevate+aham
loko'yam,loko+ayam
puruzo hasati,puruzar.hasati
gavAgram,go+agram
gavendraH,go+indraH
kumAri atra,kumArI+atra
brahmafziH,brahmA+fziH
eza dadAti,ezaH+dadAti
sEza dASaraTI rAmaH,saH+eza dASaraTI rAmaH
kustumburu,ku+tumburu
gozpada,go+pada
suScandra:,su+candraH
hariScandra,hari+candra
ajastunda,aja+tunda
kAraskara,kAra+kara
pAraskara,pAra+kara
mahA~ asi,mahAn+asi
tasmiMstarO,tasmin+tarO
tasmi~s tvA,tasmin+tvA
mahA~ indra,mahAn+indra
nF~H pAhi,nFn+pAhi
nFMH pAhi,nFn+pAhi
kA~skAn,kAn+kAn
punA ramate,punar+ramate
vfkzastarati,vfkzar+tarati
Bo atra,Bor+atra
ka Aste,kay+Aste
Bo idam,Boy+idam
Bago hasati,Bagoy+hasati
vanaM gacCati,vanam+gacCati
kaTanhnute,kaTam+hnute
saYcCamBuH,san+SamBuH
pratyaNNAtmA,pratyaN+AtmA
Samvastu,Samu+astu
vfkzastarati,vfkzaH+tarati
vfkzaSSete,vfkzaH+Sete
payaspASam,payaH+pASam
sarpizpASam,sarpiH+pASam
namaskarttA,namaH+karttA
Avizkftam,AviH+kftam
tiraskaroti,tiraH+karoti
dvizkaroti,dviH+karoti
sarpizkaroti,sarpiH+karoti
DanuzPalam,DanuH+Palam
ayaskAraH,ayaH+kAraH
aDaspadam,aDas+padam
ayaspAtram,ayaH+pAtram
payaskarati,payaH+karati
mahaspari,mahaH+pari
divaspAtu,divaH+pAtu
tamasaspAram,tamasaH+pAram
iqAyAspatiH,iqAyAH+patiH
aNgulizaNga,aNguli+saNga
BIruzWAnam,BIru+sTAnam
agnizwut,agni+stut
AyuzwomaH,Ayu+stomaH
mAtfzvasA,mAtf+svasA
mAtuHzvasA,mAtur+svasA
yuDizWiraH,yuDi+sTiraH
agnizWaH,agni+sTaH
suzAma,su+sAma
sarpizwaram,sarpis+taram
agnizwe,agnis+te
gozwomam,go+stomam
maDuzWAnam,maDu+sTAnam
SUrpaRaKA,SUrpa+naKA
SArikAvaRam,SArikA+vanam
SaravaRam,Sara+vanam
badarIvaRam,badarI+vanam
pUrvAhaRaH,pUrva+ahanaH
ikzuvAhaRam,ikzu+vAhanam
kazAyapARaH,kazAya+pAnaH
surApARam,surA+pAnam
svargakAmiRO,svarga+kAminO
antarhaRyate,antar+hanyate
antarayaRam,antar+ayanam
vfkzaSSete,vfkzas+Sete
agnicicCete,agnicit+Sete
saccit,sat+cit
kaScit,kas+cit
vfkzazwIkate,vfkzas+wIkate
vfkzazzaRqe,vfkzas+zaRqe
tawwIkA,tat+wIkA
zaRRAm,zaw+nAm
vAgnayati,vAk+nayati
vANnayati,vAk+nayati
vANmayam,vAk+mayam
dadDyatra,daDy+atra
yuyutsate,yuyuD+sate
tvaNkarozi,tvaM+karozi
tallInaH,tat+lInaH
vidvA~lliKati,vidvAn+liKati
vAgGariH,vAg+hariH
tacCivaH,tat+SivaH
tacSivaH,tat+SivaH
maYjUzeti,maYjUzA+iti
kawAkzayannAha,kawAkzayan+Aha
jYAne'pi,jYAne+api
svIkAryetyaBiprAyavAnAha,svIkArya+iti+aBiprAyavAn+Aha
ceti,ca+iti
tayorlakzaRAyAmantarBAvasamBavAditi,tayoH+lakzaRAyAm+antaH+BAva+samBavAt+iti
samavAyenAkASopasTitisamBavAd,samavAyena+AkASa+upasTiti+samBavAd
vfttyeti,vfttyA+iti
etacca,etat+ca
samavAyAdinA''kASaAdyupasTitirna,samavAya+AdinA+AkASa+Adi+upasTitiH+na
lakzaRA'naDInatvAditi,lakzaRA+anaDInatvAt+iti
tAmAdAyArTavyavahAravAraRAya,tAm+AdAya+arTa+vyavahAra+vAraRAya
vA'nvayi,vA+anvayi
lakzyasyArTatvavyavahArAnuroDena,lakzyasya+arTatva+vyavahAra+anuroDena
Saktyeti,SaktyA+iti
noktam,na+uktam
syAdataH,syAt+ataH
sarvadA'sattve'pi,sarvadA+asattve+api
vyavahArAnupapattirastyeveti,vyavahAra+anupapattiH+asti+eva+iti
tAdfSapratipatterlakzaRA'DInArTavyavahAre,tAdfSa+pratipatteH+lakzaRA+aDIna+arTa+vyavahAre
vastutastu,vastutaH+tu
vyApyavfttitayedAnImityasyAnanvayAd,vyApya+vfttitayA+idAnIm+iti+asya+ananvayAd
ityapIzyata,ityapi+izyata
tAtparyavanna,tAtparyavat+na
vfttitvamiti,vfttitvam+iti
viBajate+tatreti,viBajate+tatra+iti
pAriBAzikamiti,pAriBAzikam+iti
arTastu,arTaH+tu
lakzyapariBAzitayorvyavacCedArTaH,lakzya+pariBAzitayoH+vyavacCeda+arTaH
vAcyatvavyavahArApattirarTasya,vAcyatva+vyavahAra+ApattiH+arTasya
ceSvarecCayA,ca+ISvara+icCayA
sEva,sA+eva
kartftvamiti,kartftvam+iti
tiNamaBipretyaH,tiNam+aBipretyaH
padamiti,padam+iti
DAtvarTIBUteti,DAtvarTI+BUtA+iti
PalasyEvAtmanepadAdyarTatvAt,Palasya+eva+Atmanepada+Adi+arTatvAt
pAtitvaMtadASrayajanakatve,pAtitvam+tat+ASraya+janakatve
gOriti,gOH+iti
vEparItyamiti,vEparItyam+iti
sEva,sA+eva
gOrucyata,gOH+ucyata
gOriti,gOH+iti
vaktItyAdO,vakti+iti+AdO
nirUktaDAtvarTesya,nirUkta+DAtu+arTe+asya
kartftvamAKyAtAdinA,kartftvam+AKyAta+AdinA
tacca,tat+ca
padamiti,padam+iti
ceti,ca+iti
sADUneva,sADUn+eva
nAsADUniti,na+asADUn+iti
nizeDAnupapattiriti,nizeDa+anupapattiH+iti
evamiti,evam+iti
tAdfSecCayeti,tAdfSa+icCayA+iti
tattadarTavizayakaboDajanakatvaprakArakatvAvacCinnecCAvfttijanakatAkaBagavaduccAraRajanyatvamarTaH,tat+tat+arTa+vizayaka+boDa+janakatva+prakArakatva+avacCinna+icCA+Avftti+janaka+tAka+Bagavat+uccAraRa+janyatvam+arTaH
cArTe,ca+arTe
prakftiguRakaRenApyasaMsfzwarUpe,prakfti+guRa+kaRena+api+asaMsfzwarUpe
niravaDiramalaprItirasmAkamAstAm,niravaDiH+amala+prItiH+asmAkam+AstAm
SAligrAmAtprakawitatanurBaktajIvAtaparUpaH,SAligrAmAt+prakawi+tatanuH+Bakta+jIva+atapa+rUpaH
SrImadrADAramaRavapuzA''SvAsya,SrImat+rADA+ramaRa+vapuzA+ASvAsya
praRamAmyaham,praRamAmi+aham
kiloccAvacacarAcarAYcanacuYcO,kila+uccAvaca+carAcara+aYcana+cuYcO
prapaYce'vAntaraviBAgapraviBAgaBinnAnantapadArTasaNkule'pi,prapaYce+ava+antara+viBAga+praviBAga+Binna+ananta+pada+arTa+saNkule+api
meyasidDirmAnasidDiSca,meya+sidDiH+mAna+sidDiH+ca
lakzaRAditi,lakzaRAt+iti
vidvadvarakfzRaBawwakftayA,vidvat+vara+kfzRa+BawwakftayA
vinodinIkftEva,vinodinI+kftA+eva
praTitEraBIzwam,praTitEH+aBIzwam
SrImADavastArkikaH,SrImADavaH+tArkikaH
cEtadviBajanamanupapannam,ca+etat+viBajanam+anupapannam
mamApi,mama+api
tatrEva,tatra+eva
BavAnityAdO,BavAn+iti+AdO
BavizyatItyAdiboDasyAnuBavasidDasyAnupapattiriti,Bavizyati+iti+Adi+boDasya+anuBava+sidDasya+anupapattiH+iti
tajjYAnajanyapadArTopasTiterhetutayA,tat+jYAna+janya+padArTa+upasTiteH+hetutayA
duHKanivfttirmuktirityAcAryAH,duHKa+nivfttiH+muktiH+iti+AcAryAH
vAkyArTaH,vAkya+arTaH
tatrAvyAptivAraRAya,tatra+avyApti+vAraRAya
svasamAnADikaraReti,sva+samAna+aDikaraRa+iti
idAnIntanaduHKaDvaMsestivyAptivAraRAya,idAnIm+tana+duHKa+DvaMse+ativyApti+vAraRAya
duHKaprAgaBAvAsamAnakAlIneti,duHKa+prAga+BAva+asamAna+kAlIna+iti
duHKAsamAnakAlInatvaviSezaRopAdAnenEva,duHKa+asamAna+kAlInatva+viSezaRa+upAdAnena+eva
tatrAtivyAptivAraRasaMBave,tatra+ativyApti+vAraRa+saMBave
prAgaBAvaviSezaReneti,prAga+BAva+viSezaRena+iti
vEyyarTyABAvAt,vEyyarTya+aBAvAt
devadevamaBivaMdya,deva+devam+aBivaMdya
tAvaccikIrzitagranTasya,tAvat+cikIrzita+granTasya
BavatyasmAditi,Bavati+asmAt+iti
jagatastrElokyasya,jagata:+trElokyasya
devendrAdInAmapi,devendra+AdInAm+api
jagatpatitvamastIti,jagat+pattitvam+asti+iti
tadvyavacCedAyAha,tat+vi+ava+CedAya+Aha
paramiti,param+iti
utkfzwamityarTaH,utkfzwam+iti+arTaH
ananyaprezyamiti,ananya+prezyam+iti
vedeByo'Kilam,vedeByaH+aKilam
tamaham,tam+aham
sakfnnatvApi,sakft+natvA+api
viGnarAjamaham,viGna+rAjam+aham
nirdiSaMScikIrzitam,nirdiSan+cikIrzitam
bAlo'pi,bAlaH+api
praveSamalpena,praveSam+alpena
vAYCatyalasaH,vAYCati+alasaH
mayEzA,mayA+ezA
ezeti,ezA+iti
nAnyatretyatra,na+anyatra+iti+atra
uBayorapi,uBayoH+api
tatpratipAdyatvameva,tat+pratipAdyatvam+eva
evArTAByupagame'ByupagamyamAne,eva+arTa+aBi+upagame+aBi+upagamyamAne
cArTe,ca+arTe
vinigamakABAvAduBayorapi,vinigamaka+aBAvAt+uduBayoH+api
sidDAntatvamevetyaBipretya,sidDAntatvam+eva+iti+aBipretya
vArTaH,vA+arTaH
vikalpatastallakzaRamuktam,vikalpataH+tat+lakzaRam+uktam
dvitIyAdikamityaBiprAyeRa,dvitIya+Adikam+iti+aBi+prAyeRa
hetuvadABAsamAnA,hetuvat+ABA+samAnA
tallakzaRamAha,tat+lakzaRam+Aha
anumitIti,anumiti+iti
satyanumityaBAvaniyamastAdfSaM,sati+anumitya+BAva+niyamaH+tAdfSaM
vyAptijYAnenEvAnyaTAsidDatayA,vyApti+jYAnena+eva+anyaTA+sidDatayA
tadasaMgrahApatteH,tat+asaMgraha+ApatteH
upADijYAnasyApi,upADi+jYAnasya+api
tatrAtivyAptyApatteH,tatra+ati+vyApti+ApatteH
yaTokte,yaTA+ukte
upADijYAne'pi,upADi+jYAne+api
vyutpattivAdapadArTaScoktavyApAraH,vyutpatti+vAda+pada+arTaH+ca+ukta+vyApAraH
tAdfSavyApAraSca,tAdfSa+vyApAraH+ca
aBedaSca,aBedaH+ca
granTenEva,granTena+eva
tadupayogitayEva,tat+upayogitayA+eva
kvacidaBedaH,kvacit+aBedaH
kvacicca,kvacit+ca
evetyAdi,eva+ityAdi
saMbanDadvEviDyamapi,saMbanDa+dvEviDyam+api
vaktumucitam,vaktum+ucitam
vo'suravaDUhfdayAvasAdaH,vaH+asura+vaDU+hfdaya+avasAdaH
prodyatastriBuvanakramaRe,pra+udyataH+triBuvana+kramaRe
ivAmbarasAgarasya,iva+ambara+sAgarasya
evamAryamiSrAnvijYApayAmi,evam+arya+miSrAn+vijYApayAmi
BostAta,BoH+tAta
KalvezaH,Kalu+ezaH
SabdoccAraRAdasya,Sabda+uccAraRAt+asya
kenacitpApacetasA,kenacit+pApa+cetasA
punarnepaTye,punaH+nepaTye
parivftastaruREH,parivftaH+taruREH
KyAtirAsIt,KyAtiH+AsIt
aBavattadA,aBavat+tadA
SrotumicCAmi,Srotum+icCAmi
etAvatparyantam,etAvat+paryantam
SiSurapi,SiSu:+api
