vfdDirAdEc,vfdDiH+AdEc
na subrahmaRyAyAM svaritasya tUdAttaH,na+subrahmaRyAyAm+svaritasya+tu+udAttaH
devabrahmaRoranudAttaH,devabrahmaRoH+anudAttaH
svaritAt saMhitAyAmanudAttAnAm,svaritAt+saMhitAyAm+anudAttAnAm
apfkta ekAl pratyayaH,apfktaH+ekAl+pratyayaH
praTamAnirdizwaM samAsa upasarjanam,praTamAnirdizwam+samAse+upasarjanam
ekaviBakti cApUrvanipAte,ekaviBakti+ca+ApUrvanipAte
arTavadaDAturapratyayaH prAtipadikam,arTavat+aDAtuH+apratyayaH+prAtipadikam
kfttadDitasamAsASca,kfttadDitasamAsAH+ca
hrasvo napuMsake prAtipadikasya,hrasvaH+napuMsake+prAtipadikasya
gostriyorupasarjjanasya,gostriyoH+upasarjanasya
idgoRyAH,it+goRyAH
lupi yuktavadvyaktivacane,lupi+yuktavat+vyaktivacane
viSezaRAnAM cAjAteH,viSezaRAnAm+ca+A+jAteH
tadaSizyaM saMjYApramARatvAt,tat+aSizyam+saMjYApramARatvAt
lubyogApraKyAnAt,lup+yogApraKyAnAt
yogapramARe ca tadaBAve'darSanaM syAt,yogapramARe+ca+tadaBAve+adarSanam+syAt
praDAnapratyayArTavacanamarTasyAnyapramARatvAt,praDAnapratyayArTavacanam+arTasya+anyapramARatvAt
jAtyAKyAyAmekasmin bahuvacanamanyatarasyAm,jAtyAKyAyAm+ekasmin+bahuvacanam+anyatarasyAm
asmado dvAyoSca,asmadaH+dvAyoH+ca
PalgunIprozWapadAnAM ca nakzatre,PalgunIprozWapadAnAm+ca+nakzatre
Candasi punarvasvorekavacanam,Candasi+punarvasvoH+ekavacanam
viSAKayoSca,viSAKayoH+ca
tizyapunarvasvornakzatradvaMdve bahuvacanasya,tizyapunarvasvoH+nakzatradvaMdve+bahuvacanasya+dvivacanam+nityam
sarUpARAmekaSeza ekaviBaktO,sarUpARAm+ekaSezaH+ekaviBaktO
vfdDo yUnA tallakzaRaScedeva viSezaH,vfdDaH+yUnA+tallakzaRaH+cet+eva+viSezaH
strI puMvacca,strI+puMvat+ca
napuMsakamanapuMsakenEkavaccAsyAnyatarasyAm,napuMsakam+anapuMsakena+ekavat+ca+asya+anyatarasyAm
tyadAdIni sarvErnityam,tyadAdIni+sarvOH+nityam
BUvAdayo DAtavaH,BUvAdayaH+DAtavaH
upadeSe'janunAsika it,upadeSe+ac+anunAsikaH+it
halantyam,hal+antyam+ante+digAditvAt+yat
AdirYiwuqavaH,AdiH+YiwuqavaH
laSakvatadDite,laSaku+atadDite
yaTAsaMKyamanudeSaH samAnAm,yaTAsaMKyam+anudeSaH+samAnAm
svaritenADikAraH,svaritena+aDikAraH
anudAttaNita Atmanepadam,anudAttaNitaH+Atmanepadam
itaretarAnyonyopapadAcca,itaretarAnyonyopapadAt+ca
nerviSaH,neH+viSaH
viparAByAM jeH,viparAByAm+jeH
ANo do'nAsyaviharaRe,ANaH+daH+anAsyaviharaRe
krIqo'nusampariByaSca,krIqaH+anusampariByaH+ca
prakASanasTeyAKyayoSca,prakASanasTeyAKyayoH+ca
udo'nUrdDvakarmaRi,udaH+anUrDvakarmaRi
upAnmantrakaraRe,upAt+mantrakaraRe
akarmakAcca,akarmakAt+ca
udviByAM tapaH,udviByAm+tapaH
ANo yamahanaH,ANaH+yamahanaH
nisamupaviByo hvaH,nisamupaviByaH+hvaH
spardDAyAmANaH,spardDAyAm+ANaH
akarmakAcca,akarmakAt+ca
kartfsTe cASarIre karmaRi,kartfsTe+ca+aSarIre+karmaRi
ANa udgamane,ANaH+udgamane
propAByAM samarTAByAm,propAByAm+samarTAByAm
anupasargAdvA,anupasargAt+vA
akarmakAcca,akarmakAt+ca
sampratiByAmanADyAne,sampratiByAm+anADyAne
vyaktavAcAM samuccAraRe,vyaktavAcAm+samuccAraRe
anorakarmakAt,anoH+akarmakAt
avAdgraH,avAt+graH
udaScaraH sakarmakAt,udaH+caraH+sakarmakAt
samastftIyAyuktAt,samaH+tftIyAyuktAt
dARaSca sA ceccaturTyarTe,dARaH+ca+sA+cet+caturTyarTe
upAdyamaH svakaraRe,upAt+yamaH+svakaraRe
jYASrusmfdfSAM sanaH,jYASrusmfdfSAm+sanaH
nAnorjYaH,na+anoH+jYaH
pratyANByAM SruvaH,pratyANByAm+SruvaH
mriyaterluNliNoSca,mriyate+luNliNoH+ca
Ampratyayavat kfYo'nuprayogasya,Ampratyayavat+kfYaH+anuprayogasya
propAByAM yujerayajYapAtrezu,propAByAm+yujeH+ayajYapAtrezu
Bujo'navane,BujaH+anavane
ReraRO yat karma RO cet sa kartA'nADyAne,ReH+aRO+yat+karma+RO+cet+saH+kartA+anADyAne
BIsmyorhetuBaye,BIsmyoH+hetuBaye
liyaH sammAnanaSAlinIkaraRayoSca,liyaH+sammAnanaSAlinIkaraRayoH+ca
miTyopapadAt kfYo'ByAse,miTyopapadAt+kfYaH+aByAse
apAdvadaH,apAt+vadaH
RicaSca,RicaH+ca
samudANByo yamo'granTe,samudANByaH+yamaH+agranTe
anupasargAjjYaH,anupasargAt+jYaH
viBAzopapadena pratIyamAne,viBAzA+upapadena+pratIyamAne
anuparAByAM kfYaH,anuparAByAm+kfYaH
prAdvahaH,prAt+vahaH
parermfzaH,pareH+mfzaH
vyANpariByo ramaH,vyANpariByaH+ramaH
upAcca,upAt+ca
viBAzA'karmakAt,viBAzA+akarmakAt
nigaraRacalanArTeByaH,nigaraRacalanArTeByaH+ca
aRAvakarmakAccittavatkartfkAt,aRO+akarmakAt+cittavatkartfkAt
dyudByo luNi,dyuByaH+luNi
vfdByaH syasanoH,vfdByaH+syasanoH
A kaqArAdekA saMjYA,A+kaqArAt+ekA+saMjYA
vipratizeDe paraM kAryam,vipratizeDe+param+kAryam
neyaNuvaNsTAnAvastrI,na+iyaNuvaNsTAnO+astrI
vA''mi,vA+Ami
Sezo GyasaKi,SezaH+Gi+asaKi
patiH samAsa eva,patiH+samAse+eva
zazWIyuktaSCandasi vA,zazWIyuktaH+Candasi+vA
hrasvaM laGu,hrasvam+laGu
dIrGaM ca,dIrGam+ca
yasmAt pratyayaviDistadAdi pratyaye'Ngam,yasmAt+pratyayaviDiH+tadAdi+pratyaye+aNgam
suptiNantaM padam,suptiNantam+padam
svAdizvasarvanAmasTAne,svAdizu+asarvanamasTAne
ayasmayAdIni cCandasi,ayasmayAdIni+Candasi
DruvamapAye'pAdAnam,Druvam+apAye+apAdAnam
BItrArTAnAM BayahetuH,BItrArTAnAm+BayahetuH
parAjerasoQaH,parAjeH+asoQaH
vAraRArTAnAM IpsitaH,vAraRArTAnAm+IpsitaH
antardDO yenAdarSanamicCati,antardDO+yena+adarSanam+icCati+padam
AKyAtopayoge,AKyAtA+upayoge
karmaRA yamaBiprEti sa sampradAnam,karmaRA+yam+aBiprEti+saH+sampradAnam
rucyarTAnAM prIyamARaH,rucyarTAnAm+prIyamARaH
SlAGahnuNsTASapAM jYIpsyamAnaH,SlAGahnuNsTASapAm+jYIpsyamAnaH
DAreruttamarRaH,DAreH+uttamarRaH
spfherIpsitaH,spfheH+IpsitaH
kruDadruherzyA'sUyArTAnAM yaM prati kopaH,kruDadruherzyAsUyArTAnAm+yam+prati+kopaH
kruDadruhorupasfzwayoH karma,kruDadruhoH+upasfzwayoH+karma
rADIkzyoryasya vipraSnaH,rADIkzyoH+yasya+vipraSnaH
pratyANByAM SruvaH pUrvasya kartA,pratyANByAm+SruvaH+pUrvasya+kartA
anupratigfRaSca,anupratigfRaH+ca
sADakatamaM karaRam,sADakatamam+karaRam
parikrayaRe sampradAnamanyatarasyAm,parikrayaRe+sampradAnam+anyatarasyAm
ADAro'DikaraRam,ADAraH+aDikaraRam
aDiSINsTA''sAM karma,aDiSINsTA''sAm+karma
aBiniviSaSca,aBiniviSaH+ca
karturIpsitatamaM karma,kartuH+Ipsitatamam+karma
taTAyuktaM cAnipsItam,taTA+yuktam+ca+AnipsItam
akaTitaM ca,akaTitam+ca
gatibudDipratyavasAnArTaSabdakarmAkarmakARAmaRi kartA,gatibudDipratyavasAnArTaSabdakarmAkarmakARAm+aRi+kartA+saH+RO
hfkroranyatarasyAm,hfkroH+anyatarasyAm
tatprayojako hetuSca,tatprayojakaH+hetuH+ca
prAgrISvarAnnipAtAH,prAk+rISvarAt+nipAtAH
cAdayo'sattve,cAdayaH+asattve
gatiSca,gatiH+ca
UryAdicviqAcaSca,UryAdicviqAcaH+ca
anukaraRaM cAnitiparam,anukaraRam+ca+anitiparam
BUzaRe'lam,BUzaRe+alam
antaraparigrahe,antaH+aparigrahe
puro'vyayam,puraH+avyayam
astaM ca,astam+ca
ado'nupadeSe,adaH+anupadeSe
tiro'ntardDO,tiraH+antardDO
anatyADAna urasimanasI,anatyADAne+urasimanasI
nityaM haste pARAvupayamane,nityam+haste
prADvaM banDane,prADvam+banDane
jIvikopanizadAvOpamye,jIvikopanizadO+Opamye
Candasi pare'pi,Candasi+pare+api
vyavahitASca,vyavahitAH+ca
anurlakzaRe,anuH+lakzaRe
upo'Dike ca,upaH+aDike+ca
aBiraBAge,aBiH+aBAge
atiratikramaRe ca,atiH+atikramaRe+ca
aDirISvare,aDiH+ISvare
taNAnAvAtmanepadam,taNAnO+Atmanepadam
tiNastrIRi trIRi praTamamaDyamottamAH,tiNaH+trIRi+trIRi+praTamamaDyamottamAH
tAnyekavacanadvivacanabahuvacanAnyekaSaH,tAni+ekavacanadvivacanabahuvacanAnyekaSaH
viBaktiSca,viBaktiH+ca
yuzmadyupapade samAnADikaraRe sTAninyapi maDyamaH,yuzmadi+upapade+samAnADikaraRe+sTAnini+api+maDyamaH
prahAse ca manyopapade manyateruttama ekavacca,prahAse+ca+manyopapade+manyateH+uttama+ekavat+ca
asmadyuttamaH,asmadi+uttamaH
paraH saMnikarzaH saMhitA,paraH+sannikarzaH+saMhitA
virAmo'vasAnam,virAmaH+avasAnam
subAmantrite parANgavat svare,sup+Amantrite+parANgavat+svare
yaTA'sAdfye,yaTA+asAdfye
yAvadavaDAraRe,yAvat+avaDAraRe
lakzaRenABipratI ABimuKye,lakzaRena+aBipratI+ABimuKye
anuryatsamayA,anuH+yatsamayA
yasya cAyAmaH,yasya+ca+AyAmaH
nadIBiSca,nadIBiH+ca
anyapadArTe ca saMjYAyAm,anyapadArTe+ca+saMjYAyAm
dviguSca,dviguH+ca
svayaM ktena,svayam+ktena
tftIyA tatkftArTena guRavacanena,tftIyA+tatkfta+arTena+guRavacanena
kartfkaraRe kftA bahulam,kartfkaraRe+kftA+bahulam
kftyEraDikArTavacane,kftyEH+aDikArTavacane
annena vyaYjanam,annena+vyaYjanam
BakzyeRa miSrIkaraRam,BakzyeRa+miSrIkaraRam
apetApoQamuktapatitApatrastEralpaSaH,apetApoQamuktapatitApatrastEH+alpaSaH
sidDaSuzkapakvabanDESca,sidDaSuzkapakvabanDEH+ca
kftyErfRe,kftyEH+fRe
ktenAhorAtrAvayavAH,ktena+ahorAtrAvayavAH
pAtresamitAdayaSca,pAtresaMmitAdayaH+ca
saMKyApUrvo dviguH,saMKyApUrvaH+dviguH
upamitaM vyAGrAdiBiH sAmAnyAprayoge,upamitam+vyAGrAdiBiH+sAmAnyAprayoge
viSezaRaM viSezyeRa bahulam,viSezaRam+viSezyeRa+bahulam
pUrvAparapraTamacaramajaGanyasamAnamaDyamaDyamavIrASca,pUrvAparapraTamacaramajaGanyasamAnamaDyamaDyamavIrAH+ca
ktena naYviSizwenAnaY,ktena+naYviSizwena+anaY
vfndArakanAgakuYjarEH pUjyamAnam,vfndArakanAgakuYjarEH+pUjyamAnam
kiM kzepe,kim+kzepe
praSaMsAvacanESca,praSaMsAvacanEH+ca
kftyatulyAKyA ajAtyA,kftyatulyAKyAH+ajAtyA
varRo varRena,varRaH+varRena
catuzpAdo garBiRyA,catuzpAdaH+garBiRyA
mayUravyaMsakAdayaSca,mayUravyaMsakAdayaH+ca
pUrvAparADarottaramekadeSinEkADikaraRe,pUrvAparADarottaram+ekadeSinA+ekADikaraRe
arDaM napuMsakam,arDam+napuMsakam
dvitIyatftIyacaturTaturyARyanyatarasyAm,dvitIyatftIyacaturTaturyARi+anyatarasyAm
IzadakftA,Izat+akftA
yAjakAdiBiSca,yAjakAdiBiH+ca
ktena ca pUjAyAm,ktena+ca+pUjAyAm
tfjakAByAM kartari,tfjakAByAm+karttari
nityaM krIqAjIvikayoH,nityam+krIqAjIvikayoH
upapadamatiN,upapadam+atiN
amEvAvyayena,amA+eva+avyayena
tftIyApraBftInyanyatarasyAm,tftIyApraBftIni+anyatarasyAm
Sezo bahuvrIhiH,SezaH+bahuvrIhiH
anekamanyapadArTe,anekam+anyapadArTe
saMKyayA'vyayAsannAdUrADikasaMKyAH saMKyeye,saMKyayA+avyayAsannAdUrADikasaMKyAH+saMKyeye
tatra tenedamiti sarUpe,tatra+ten+idam+iti+sarUpe
tena saheti tulyayoge,tena+saha+iti+tulyayoge
cArTe dvaMdvaH,cArTe+dvandvaH
upasarjanaM pUrvam,upasarjanam+pUrvam
rAjadantAdizu param,rAjadantAdizu+param
dvaMdve Gi,dvandve+Gi
vA''hitAgnyAdizu,vA+AhitAgnyAdizu
tftIyA ca hoSCandasi,tftIyA+ca+hoH+Candasi
kAlADvanoratyantasaMyoge,kAlADvanoH+atyantasaMyoge
yasmAdaDikaM yasya ceSvaravacanaM tatra saptamI,yasmAt+aDikam+yasya+ISvaravacanam+tatra+saptamI
pratiniDipratidAne ca yasmAt,pratiniDipratidAne+ca+yasmAt
gatyarTakarmaRi dvitIyAcaturTyO cezwAyAmanaDvani,gatyarTakarmaRi+dvitIyAcaturTyO+cezwAyAm+anaDvani
tumarTAcca BAvavacanAt,tumarTAt+ca+BAvavacanAt
namaHsvastisvAhAsvaDAlaMvazaqyogAcca,namaHsvastisvAhAsvaDAlaMvazaqyogAt+ca
manyakarmaRyanAdare viBAzA'prARizu,manyakarmaRi+anAdare+viBAzA+aprARizu
kartfkaraRayostftIyA,karttfkaraRayoH+tftIyA
sahayukte'praDAne,sahayukte+apraDAne
yenANgavikAraH,yena+aNgavikAraH
saMjYo'nyatarasyAM karmaRi,saMjYaH+anyatarasyAm+karmaRi
akartaryfRe paYcamI,akarttari+fRe+paYcamI
viBAzA guRe'striyAm,viBAzA+guRe+astriyAm
sarvanAmnastftIyA ca,sarvanAmnaH+tftIyA+ca
zazWyatasarTapratyayena,zazWI+atasarTapratyayena
pfTagvinAnAnABistftIyA'nyatarasyAm,pfTagvinAnAnABiH+tftIyA+anyatarasyAm
karaRe ca stokAlpakfcCrakatipayasyAsattvavacanasya,karaRe+ca+stokAlpakfcCrakatipayasya+asattvavacanasya
dUrAntikArTEH zazWyanyatarasyAm,dUrAntikArTEH+zazWI+anyatarasyAm
dUrAntikArTeByo dvitIyA ca,dUrAntikArTeByaH+dvitIyA+ca
saptamyaDikaraRe ca,saptamI+aDikaraRe+ca
yasya ca BAvena BAvalakzaRam,yasya+ca+BAvena+BAvalakzaRam
zazWI cAnAdare,zazWI+ca+anAdare
svAmISvarADipatidAyAdasAkzipratiBUprasUtESca,svAmISvarADipatidAyAdasAkzipratiBUprasUtEH+ca
AyuktakuSalAByAM cAsevAyAm,AyuktakuSalAByAm+ca+AsevAyAm
yataSca nirDAraRam,yataH+ca+nirdDAraRam
sADunipuRAByAm arcAyAM saptamyaprateH,sADunipuRAByAm+arcAyAm+saptamI+aprateH
prasitotsukAByAM tftIyA ca,prasitotsukAByAm+tftIyA+ca
sA''mantritam,sA+Amantritam
ekavacanaM saMbudDiH,ekavacanam+sambudDiH
jYo'vidarTasya karaRe,jYaH+avidarTasya+karaRe
aDIgarTadayeSAM karmaRi,aDIgarTadayeSAm+karmaRi
rujArTAnAM BAvavacanAnAmajvareH,rujArTAnAm+BAvavacanAnAm+ajvareH
jAsiniprahaRanAwakrATapizAM hiMsAyAm,jAsiniprahaRanAwakrATapizAm+hiMsAyAm
divastadarTasya,divaH+tadarTasya
viBAzopasarge,viBAzA+upasarge
prezyabruvorhavizo devatAsampradAne,prezyabruvoH+havizaH+devatAsampradAne
caturTyarTe bahulaM Candasi,caturTyarTe+bahulam+Candasi
yajeSca karaRe,yajeH+ca+karaRe
kftvo'rTaprayoge kAle'DikaraRe,kftvo'rTaprayoge+kAle+aDikaraRe
ktasya ca vartamAne,ktasya+ca+varttamAne
aDikaraRavAcinaSca,aDikaraRavAcinaH+ca
na lokAvyayanizWAKalarTatfnAm,na+lokAvyayanizWAKalarTatfnAm
akenorBavizyadADamarRyayoH,akenoH+BavizyadADamarRyayoH
kftyAnAM kartari vA,kftyAnAm+karttari+vA
tulyArTEratulopamAByAM tftIyA'nyatarasyAm,tulyArTe+atulopamAByAm+tftIyA+anyatarasyAm
caturTI cASizyAyuzyamadraBadrakuSalasuKArTahitEH,caturTI+ca+ASizi+AyuzyamadraBadrakuSalasuKArTahitEH
dvigurekavacanam,dviguH+ekavacanam
dvaMdvaSca prARitUryasenANgAnAm,dvandvaH+ca+prARitUryasenANgAnAm
anuvAde caraRAnAm,anuvAde+caraRAnAm
aDvaryukraturanapuMsakam.,aDvaryukratuH+anapuMsakam
aDyayanato'viprakfzwAKyAnAm,aDyayanataH+aviprakfzwAKyAnAm
jAtiraprARinAm,jAtiH+aprARinAm
viSizwaliNgo nadI deSo'grAmAH,viSizwaliNgah+nadI+deSaH+agrAmAH
yezAM ca viroDaH SASvatikaH,yezAm+ca+viroDaH+SASvatikaH
SUdrARAmaniravasitAnAm,SUdrARAm+aniravasitAnAm
viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm,viBAzA+vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
vipratizidDaM cAnaDikaraRavAci,vipratizidDam+ca+anaDikaraRavAci
sa napuMsakam,saH+napuMsakam
avyayIBAvaSca,avyayIBAvaH+ca
tatpuruzo'naY karmaDArayaH,tatpuruzaH+anaY+karmaDArayaH
saMjYAyAM kanToSInarezu,saMjYAyAm+kanTA+uSInarezu
upajYopakramaM tadAdyAciKyAsAyAm,upajYopakramam+tadAdyAciKyAsAyAm
viBAzA senAsurACAyASAlAniSAnAm,viBAzA+senAsurAcCAyASAlAniSAnAm
paravalliNgaM dvandvatatpuruzayoH,paravat+liNgam+dvandvatatpuruzayoH
pUrvavadaSvavaqavO,pUrvavat+aSvavaqavO
hemantaSiSirAvahorAtre ca cCandasi,hemantaSiSirO+ahorAtre+ca+Candasi
apaTaM napuMsakam,apaTam+napuMsakam
idamo'nvAdeSe'SanudAttastftIyA''dO,idamaH+anvAdeSe+aS+anudAttaH+tftIyA''dO
etadastratasostratasO cAnudAttO,etadaH+tratasoH+tratasO+ca+anudAttO
dvitIyAwOssvenaH,dvitIyAwOssu+enaH
ado jagDirlyapti kiti,adaH+jagDiH+lyap+ti+kiti
luNsanorGasx,luNsanoH+Gasx
GaYapoSca,GaYapoH+ca
bahulaM Candasi,bahulam+Candasi
liwyanyatarasyAm,liwi+anyatarasyAm
veYo vayiH,veYaH+vayiH
hano vaDa liNi,hanaH+vaDa+liNi
AtmanepadezvanyatarasyAm,Atmanepadezu+anyatarasyAm
iRo gA luNi,iRaH+gA+luNi
RO gamiraboDane,RO+gamiH+aboDane
iNaSca,iNaH+ca
gAN liwi,gAN+liwi
asterBUH,asteH+BUH
bruvo vaciH,bruvaH+vaciH
cakziNaH KyAY,cakziNaH+KyAY
ajervyaGaYapoH,ajeH+vI+aGaYapoH
RyakzatriyArzaYito yUni lugaRiYoH,RyakzatriyArzaYitaH+yUni+luk+aRiYoH
pElAdiByaSca,pElAdiByaH+ca
iYaH prAcAm,iYaH+prAcAm
tadrAjasya bahuzu tenEvAstriyAm,tadrAjasya+bahuzu+tena+eva+astriyAm
yaskAdiByo gotre,yaskAdiByaH+gotre
yaYaYoSca,yaYaYoH+ca
atriBfgukutsavasizWagotamANgiroByaSca,atriBfgukutsavasizWagotamANgiroByaH+ca
tikakitavAdiByo dvaMdve,tikakitavAdiByaH+dvandve
upakAdiByo'nyatarasyAmadvaMdve,upakAdiByaH+anyatarasyAm+advandve
AgastyakORqinyayoragastikuRqinac,AgastyakORqinyayoH+agastikuRqinac
supo DAtuprAtipadikayoH,supaH+DAtuprAtipadikayoH
bahulaM Candasi,bahulam+Candasi
yaNo'ci ca,yaNaH+aci+ca
bahulaM Candasi,bahulam+Candasi
tanAdiByastaTAsoH,tanAdiByaH+taTAsoH
mantre GasahvaraRaSavfdahAdvfckfgamijaniByo leH,mantre+GasahvaraRaSavfdahAdvfckfgamijaniByaH+leH
avyayAdApsupaH,avyayAt+ApsupaH
nAvyayIBAvAdato'mtvapaYcamyAH,na+AvyayIBAvAt+ataH+am+tu+apaYcamyAH
tftIyAsaptamyorbahulam,tftIyAsaptamyoH+bahulam
paraSca,paraH+ca
AdyudAttaSca,AdyudAttaH+ca
guptijkidByaH san,guptijkidByaH+san
mAnbaDadAnSAnByo dIrGaScAByAsasya,mAnbaDadAnSAnByaH+dIrGaH+ca+aByAsasya
DAtoH karmaRaH samAnakartfkAdicCAyAM vA,DAtoH+karmaRaH+samAnakartfkAt+icCAyAm+vA
upamAnAdAcAre,upamAnAt+AcAre
kartuH kyaN salopaSca,kartuH+kyaN+salopaH+ca
BfSAdiByo BuvyacverlopaSca halaH,BfSAdiByaH+Buvi+acve+lopaH+ca+halaH
lohitAdiqAjByaH kyaz।,lohitAdiqAjByaH+kyaz
karmaRaH romanTatapoByAM varticaroH,karmaRaH+romanTatapoByAm+vartticaroH
bAzpozmAByAM udvamane,vAzpozmAByAm+udvamane
pucCaBARqacIvarARRiN,pucCaBARqacIvarAt+RiN
muRqamiSraSlakzRalavaRavratavastrahalakalakftatUsteByo,muRqamiSraSlakzRalavaRavratavastrahalakalakftatUsteByaH+Ric
DAtorekAco halAdeH kriyAsamaBihAre yaN,DAtoH+ekAcaH+halAdeH+kriyAsamaBihAre+yaN
nityaM kOwilye gatO,nityam+kOwilye+gatO
lupasadacarajapajaBadahadaSagFByo BAvagarhAyAm,lupasadacarajapajaBadahadaSagFByaH+BAvagarhAyAm
satyApapASarUpavIRAtUlaSlokasenAlomatvacavarmavarRacUrRacurAdiByo Ric,satyApapASarUpavIRAtUlaSlokasenAlomatvacavarmavarRacUrRacurAdiByaH+Ric
kaRqvAdiByo yak,kaRqvAdiByaH+yak
gupUDUpavicCipaRipaniBya AyaH,gupUDUpavicCipaRipaniByaH+AyaH
fterIyaN,fteH+IyaN
kamerRiN,kameH+RiN
AyAdaya ArDadDAtuke vA,AyAdayaH+ArDadDAtuke+vA
sanAdyantA DAtavaH,sanAdyantAH+DAtavaH
sibbahulaM lewi,sip+bahulam+lewi
kAspratyayAdAmamantre liwi,kAspratyayAt+Am+amantre+liwi
ijAdeSca gurumato'nfcCaH,ijAdeH+ca+gurumataH+anfcCaH
dayAyAsaSca,dayAyAsaH+ca
uzavidajAgfByo'nyatarasyAm,uzavidajAgfByaH+anyatarasyAm
BIhrIBfhuvAM Sluvacca,BIhrIBfhuvAm+Sluvat+ca
kfY cAnuprayujyate liwi,kfY+ca+anuprayujyate+liwi
aByutsAdayAMprajanayAMcikayAMramayAmakaH,aByutsAdayAm+prajanayAm+cikayAm+ramayAm+akaH+pAvayAMkriyAt+vidAmakran+iti+Candasi
Sala igupaDAdaniwaH ksaH,SalaH+igupaDAt+aniwaH+ksaH
Sliza AliNgane,SlizaH+AliNgane
RiSridrusruByaH kartari caN,RiSridrusruByaH+karttari+caN
gupeSCandasi,gupeH+Candasi
nonayatiDvanayatyelayatyardayatiByaH,na+UnayatiDvanayatyelayatyardayatiByaH
lipisicihvaSca,lipisicihvaH+ca
AtmanepadezvanyatarasyAm,Atmanepadezu+anyatarasyAm
sarttiSAstyartiByaSca,sarttiSAstyartiByaH+ca
irito vA,iritaH+vA
jfstamBumrucumlucugrucuglucugluYcuSviByaSca,jFstamBumrucumlucugrucuglucugluYcuSviByaH+ca
kfmfdfruhiByaSCandasi,kfmfdfruhiByaH+Candasi
