SrImadBagavadgItA,SrImat+Bagavat+gItA
AcAryAnmAtulAnBrAtFnputrAnpOtrAnsaKIMstaTA,AcAryAn+mAtulAn+BrAtFn+putrAn+pOtrAn+saKIn+taTA
SvaSurAnsuhfdaScEva,SvaSurAn+suhfdaH+ca+eva
senayoruBayorapi,senayoH+uBayoH+api
tAnsamIkzya,tAn+samIkzya
sa kOnteyaH,saH+kOnteyaH
sarvAnbanDUnavasTitAn,sarvAn+banDUn+avasTitAn
parayAvizwo vizIdannidamabravIt,parayA+vizwaH+vizIdat+idam+abravIt
dfzwvemaM svajanaM kfzRa,dfzwvA+imam+sva+janam+kfzRa
yuyutsuM samupasTitam,yuyutsum+sam+upasTitam
muKaM ca,muKam+ca
vepaTuSca,vepaTuH+ca
romaharzaSca,roma+harzaH+ca
gARqIvaM sraMsate,gARqIvam+sraMsate
hastAttvakcEva,hastAt+tvak+ca+eva
SaknomyavasTAtuM BramatIva,Saknomi+avasTAtum+Bramati+iva
Sreyo'nupaSyAmi,SreyaH+anupaSyAmi
svajanamAhave,sva+janam+Ahave
vijayaM kfzRa,vijayam+kfzRa
rAjyaM suKAni,rAjyam+suKAni
kiM no rAjyena,kim+naH+rAjyena
kiM BogErjIvitena,kim+BogEH+jIvitena
yezAmarTe,yezAm+arTe
kANkzitaM no rAjyaM BogAH,kANkzitam+naH+rAjyam+BogAH
ta imevasTitA,te+ime+avasTitAH
prARAMstyaktvA,prARAn+tyaktvA
putrAstaTEva,putrAH+taTA+eva
sambanDinastaTA,sambanDinaH+taTA
etAnna,etAn+na
hantumicCAmi,hantum+icCAmi
Gnato'pi,GnataH+api
DArtarAzwrAnnaH,DArtarAzwrAn+naH
syAjjanArdana,syAt+jana+ardana
pApamevASrayedasmAnhatvEtAnAtatAyinaH,pApam+eva+ASrayet+asmAn+hatvA+etAn+Ata+tAyinaH
tasmAnnArhA vayaM hantuM DArtarAzwrAnsvabAnDavAn,tasmAt+na+arhAH+vayam+hantum+DArtarAzwrAn+sva+bAnDavAn
svajanaM hi,svajanam+hi
kaTaM hatvA,kaTam+hatvA
yadyapyete,yadi+api+ete
loBopahatacetasaH,loBa+upahata+cetasaH
kulakzayakftaM dozaM mitradrohe,kula+kzaya+kftam+dozam+mitra+drohe
kaTaM na,kaTam+na
jYeyamasmABiH,jYeyam+asmABiH
pApAdasmAnnivartitum,pApAt+asmAn+nivartitum
kulakzayakftaM dozaM prapaSyadBirjanArdana,kula+kzaya+kftam+dozam+prapaSyadBiH+jana+ardana
kulaM kftsnamaDarmo'BiBavatyuta,kulam+kftsnam+aDarmaH+aBiBavati+uta
aDarmABiBavAtkfzRa,aDarma+aBiBavAt+kfzRa
saNkaro narakAyEva,saNkaraH+narakAya+eva
kulaDnAnAM kulasya,kulaGnAnAm+kulasya
pitaro hyezAM luptapiRqOdakakriyAH,pitaraH+hi+ezAm+lupta+piRqa+udaka+kriyAH
dozEretEH,dozEH+etEH
kulaDnAnAM varRasaNkarakArakEH,kula+GnAnAm+varRa+saNkara+kArakEH
kulaDarmASca,kula+DarmAH+ca
utsannakulaDarmARAM manuzyARAM janArdana,utsat+nakula+DarmARAm+manuzyARAm+jana+ardana
narake'niyataM vAso BavatItyanuSuSruma,narake+aniyatam+vAsaH+Bavati+iti+anuSuSruma+
mahatpApaM kartuM vyavasitA vayam,mahat+pApam+kartum+vi+avasitA+vayam
yadrAjyasuKaloBena,yat+rAjya+suKa+loBena
hantuM svajanamudyatAH,hantum+sva+janam+udyatAH
mAmapratIkAramaSastraM SastrapARayaH,mAm+apratIkAram+aSastram+Sastra+pARayaH
DArtarAzwrA raRe,DArtarAzwrAH+raRe
hanyustanme,hanyuH+tat+me
kzemataraM Bavet,kzema+taram+Bavet
saYjaya uvAca,saYjayaH+uvAca
evamuktvArjunaH,evam+uktvA+arjunaH
saSaraM cApaM SokasaMvignamAnasaH,saSaram+cApam+Soka+saMvigna+mAnasaH
oM tat,om+tat
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde
arjunavizAdayogonAma,arjuna+vizAda+yogaH+nAma
praTamo'DyAyaH,praTamaH+aDyAyaH
dvitIyo'DyAyaH,dvitIyaH+aDyAyaH
saYjaya uvAca,saYjayaH+uvAca
taM taTA,tam+taTA
kfpayAvizwamaSrupUrRAkulekzaRam,kfpayA+Avizwam+aSru+pUrRa+Akula+IkzaRam
vizIdantamidaM vAkyamuvAca,vizIdantam+idam+vAkyam+uvAca
SrIBagavAnuvAca,SrI+BagavAn+uvAca
kutastvA,kutaH+tvA
kaSmalamidaM vizame,kaSmalam+idam+vizame
samupasTitam,sam+upasTitam
anAryajuzwamasvargyamakIrtikaramarjuna,anArya+juzwam+asvargyam+akIrtikaram+arjuna
klEbyaM mA,klEbyam+mA
nEtattvayyupapadyate,na+etat+tvayi+upapadyate
kzudraM hfdayaqOrbalyaM tyaktvottizWa,kzudram+hfdaya+dOrbalyam+tyaktvA+uttizWa
parantapa,param+tapa
arjuna uvAca,arjunaH+uvAca
kaTamBIzmamahaM saNKye,kaTam+BIzmam+aham+saNKye
droRaYca,droRam+ca
pUjArhAvarisUdana,pUjA+arhO+ari+sUdana
gurUnahatvA,gurUn+hatvA
mahAnuBAvAn,mahA+anuBAvAn
Sreyo BoktumBEkzyamapIha,SreyaH+Boktum+BEkzyam+api+iha
hatvArTakAmAMstu,hatvA+arTa+kAmAn+tu
gurUnihEeva,gurUn+iha+eva
cEtadvidmaH,ca+etat+vidmaH
kataranno garIyaH,katarat+naH+garIyaH
yatvA,yat+vA
no jayeyuH,naH+jayeyuH
yAneva,yAn+eva
te'vasTitAH,te+avasTitAH
kArpaRyadozopahatasvaBAvaH,kArpaRya+doza+upahata+svaBAvaH
tvAnDarmasaMmUQacetAH,tvAm+Darma+saMmUQa+cetAH
yacCreyaH,yat+SreyaH
syAnniScitambrUhi,syAt+niScitam+brUhi
tanme,tat+me
Sizyaste'haM SADi,SizyaH+te+aham+SADi
mAntvAmprapannam,mAm+tvAm+prapannam
mamApanudyAt,mama+apanudyAt
yacCokamucCozaRamindriyARAm,yat+Sokam+ut+SozaRam+indriyARAm
BUmAvasapatnamfdDam,BUmO+asapatnam+fdDam
rAjyaM surARAmapi,rAjyam+surARAm+api
cADipatyam,ca+ADipatyam
saYjaya uvAca,saYjayaH+uvAca
evamuktvA,evam+uktvA
hfzIkeSaNguqAkeSaH,hfzI+keSam+guqA+keSaH
parantapa,param+tapa
yotsya iti,yotsye+iti
govindamuktvA,govindam+uktvA
tUzRImbaBUvaha,tUzRIm+baBUvaha
tamuvAca,tam+uvAca
prahasanniva,prahasan+iva
senayoruBayormaDye,senayoH+uBayoH+maDye
vizIdantamidaM vacaH,vizIdantam+idam+vacaH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
aSocyAnanvaSocastvaM prajYAvAdAMSca,aSocya+anu+aSocaH+tvam+prajYA+vAdAn+ca
gatAsUnagatAsUMSca,gata+AsUn+agata+AsUn+ca
nAnuSocanti,na+anuSocanti
tvevAhaM jAtu,tu+eva+aham+jAtu
nAsaM na,na+Asam+na
tvaM neme,tvam+na+ime
janADipAH,jana+aDipAH
cEva,ca+eva
vayamataH,vayam+ataH
dehino'sminyaTA,dehinaH+asmin+yaTA
kOmAraM yOvanaM jarA,kOmAram+yOvanam+jarA
dehAntaraprAptiH,deha+antara+prAptiH
DIrastatra,DIraH+tatra
mAtrAsparSAstu,mAtrAsparSAH+tu
SItozRasuKuduHKadAH,SIta+uzRa+suKu+duHKadAH
AgamApAyino'nityAstAMstitikzasva,Agama+ApAyinaH+anityAH+tAn+titikzasva
yaM hi,yam+hi
vyaTayantyete,vyaTayanti+ete
puruzampuruzarzaBa,puruzam+puruza+fzaBa
samaduHKasuKanDIraM so'mftatvAya,sama+duHKa+suKam+DIram+saH+amftatvAya
nAsato vidyate,na+asataH+vidyate
BAvo nABAvo vidyate,BAvaH+na+aBAvaH+vidyate
uBayorapi,uBayaH+api
dfzwo'ntastvanayostattvadarSiBiH,dfzwaH+antaH+tu+anayoH+tattva+darSiBiH
tadvidDi,tat+vidDi
sarvamidantatam,sarvam+idam+tatam
vinASamavyayasya,vinASam+avyayasya
kaScitkartumarhati,kaH+cit+kartum+arhati
antavanta ime,anta+vantaH+ime
dehA nityasyoktAH,dehAH+nityasya+uktAH
anASino'prameyasya,anASinaH+aprameyasya
tasmAdyuDyasva,tasmAt+yuDyasva
ya enaM vetti,yaH+enam+vetti
hantAraM yaScEnam,hantAram+yaH+ca+enam
vijAnIto nAyaM hanti,vijAnItaH+na+ayam+hanti
nAyam,na+ayam
ajo nityaH,ajaH+nityaH
SASvato'yaM purARaH,SASvataH+ayam+purARaH
vedAvinASinannityaM ya enamajamavyayam,veda+avinASinam+nityam+yaH+enam+ajam+avyayam
kaTaM sa puruzaH,kaTam+saH+puruzaH
kaNGAtayati,kam+GAtayati
naro'parARi,naraH+aparARi
nEnaM Cindanti,na+enam+Cindanti
nEnaM dahati,na+enam+dahati
cEnam kledayantyApaH,ca+enam+kledayanti+ApaH
acCedyo'yamadAhyo'yamakledyo'Sozya eva,acCedyaH+ayam+adAhyaH+ayam+akledyaH+aSozyaH+eva+
sTARuracalo'yaM sanAtanaH,sTARuH+acalaH+ayam+sanAtanaH
avyakto'yamacintyo'yamavikAryo'yamucyate,avyaktaH+ayam+acintyaH+ayam+avikAryaH+ayam+ucyate
tasmAdevaM viditvEnaM nAnuSocitumarhasi,tasmAt+evam+viditvA+enam+na+anuSocitum
cEnannityajAtannityaM vA,ca+enam+nitya+jAtam+nityam+vA
taTApi,taTA+api
tvaM mahAbAho nEvaM Socitumarhasi,tvam+mahA+bAhaH+na+evam+Socitum+arhasi
Druvo mftyurDruvaYjanma,DruvaH+mftyuH+Druvam+janma
tasmAdaparihArye'rTe,tasmAt+aparihArye+arTe
tvaM Socitumarhasi,tvam+Socitum+arhasi
avyaktAdIni,avyakta+AdIni
avyaktaniDanAnyeva,avyakta+niDanAni+eva
AScaryavatpaSyati,AScaryavat+paSyati
kaScitenaM AScaryavadvadati,kaH+cit+enam+AScaryavat+vadati
taTEva,taTA+eva
cAnyaH,ca+anyaH
AScaryavaccEnamanyaH,AScaryavat+ca+enam+anyaH
SrutvApyenaM veda,SrutvA+api+enam+veda
cEva,ca+eva
kaScit,kaH+cit
nityamavaDyo'yandehe,nityam+avaDyaH+ayam+dehe
tasmAtsarvARi,tasmAt+sarvARi
tvaM Socitumarhasi,tvam+Socitum+arhasi
svaDarmamapi,sva+Darmam+api
cAvekzya,ca+avekzya
vikampitumarhasi,vikampitum+arhasi
DarmyAdDi,DarmyAt+hi
yudDAcCreyo'nyatkzatriyasya,yudDAt+SreyaH+anyat+kzatriyasya
yadfcCayA,yat+fcCayA
copapannaM svargadvAramapAvftam,ca+upapannam+svarga+dvAram+apa+Avftam
yudDamIdfSam,yudDam+IdfSam
cettvamimanDarmyaM saNgrAmanna,cet+tu+imam+Darmyam+sam+grAmam+na
svaDarmaNkIrtiYca,sva+Darmam+kIrtim+ca
pApamavApsyasi,pApam+avApsyasi
akIrtiYcApi,akIrtim+ca+api
te'vyayAm,te+avyayAm
cAkIrtirmaraRAdatiricyate,ca+akIrtiH+maraRAt+atiricyate
BayAdraRAduparatammaMsyante,BayAt+raRAt+uparatam+maMsyante
tvAM mahAraTAH,tvAm+mahAraTAH
yezAYca,yezAm+ca
tvaM bahumato BUtvA,tvam+bahu+mataH+BUtvA
avAcyavAdAMSca,avAcya+vAdAn+ca
bahUnvadizyanti,bahUn+vadizyanti
tavAhitAH,tava+ahitAH
nindantastava,nindantaH+tava
sAmarTyantato duHKatarannu,sAmarTyam+tataH+duHKataram+nu
hato vA,hataH+vA
svargaYjitvA,svargam+jitvA
tasmAduttizWa,tasmAt+uttizWa
lABAlABO,lABa+alABO
jayAjayO,jaya+ajayO
tato yudDAya,tataH+yudDAya
nEvaM pApamavApsyasi,na+evam+pApam+avApsyasi
budDiryoge,budDiH+yoge
tvimAM SrfRu,tu+imAm+SrfRu
yukto yayA,yuktaH+yayA
karmabanDaM prahAsyasi,karma+banDam+prahAsyasi
nehABikramanASo'sti,na+iha+aBikrama+nASaH+asti
pratyavAyo na,pratyavAyaH+na
svalpamapyasya,svalpam+api+asya
mahato BayAt,mahataH+BayAt
vyavasAyAtmikA,vyavasAya+AtmikA
budDirekeha,budDiH+eka+iha
hyanantASca,hi+anantAH+ca
budDayo'vyavasAyinAm,budDayaH+avyavasAyinAm
yAmimAmpuzpitAM vAcampravadantyavipaScitaH,yAm+imAm+puzpitAm+vAcam+pravadanti+avipaScitaH
nAnyadastIti,na+anyat+asti+iti
kAmAtmAnaH,kAma+AtmAnaH
kriyAviSezabahulAmBogESvaryagatimprati,kriyA+viSeza+bahulAm+BogEH+ESvarya+gatim+prati
BogESvaryaprasaktAnAntayApahftacetasAm,BogEH+ESvarya+prasaktAnAm+tayA+apahftacetasAm
vyavasAyAtmikA,vyavasAya+AtmikA
vedA nistrEguRyo BavArjuna,vedAH+niH+trEguRyaH+Bava+arjuna
nirdvandvo nityasattvasTo niryogekzema,niH+dvandvaH+nitya+sattvasTaH+niH+yoge+ kzema
yAvAnarTa,yAvAn+arTa
samplutodake,sam+pluta+udake
tAvAnsarvezu,tAvAn+sarvezu
karmaRyevADikAraste,karmaRi+eva+aDikAraH+te
karmaPalaheturBUrmA,karma+Pala+hetuH+BUH+mA
saNgo'stvakarmaRi,saNgaH+astu+akarmaRi
saNgaM tyaktvA,saNgam+tyaktvA
DanaYjaya,Danam+jaya
sidDyasidDyoH,sidDi+asidDyoH
samo BUtvA,samaH+BUtvA
samatvaM yoga ucyate,samatvam+yogaH+ucyate
hyavaraM karma,hi+avaram+karma
budDiyogAdDanaYjaya,budDi+yogAt+Danam+jaya
SaraRamanvicCa,SaraRam+anu+icCa
budDiyukto jahAtIha,budDi+yuktaH+jahAti+iha
tasmAd yogAya,tasmAt+yogAya
karmajambudDiyuktA hi,karmajam+budDi+yuktAH+hi
PalaM tyaktvA,Palam+tyaktvA
janmabanDavinirmuktAH,#NAME?
padaNgacCantyanAmayam,padam+gacCanti+an+Amayam
mohakalilaM budDirvyatitarizyati,moha+kalilam+budDiH+vi+ati+tarizyati
gantAsi,
nirvedaM Srotavyasya,niH+vedam+Srotavyasya
niScalA,niH+calA
samADAvacalA,samADO+acalA
budDistadA,budDiH+tadA
yogamavApsyasi,yogam+avApsyasi
arjuna uvAca,arjunaH+uvAca
kimpraBAzeta,kim+praBAzeta
kimAsIta,kim+AsIta
SrIBagavAnuvAca,SrI+BagavAn+uvAca
kAmAnsarvAnpArTa,kAmAn+sarvAn+pArTa
manogatAn,manas+gatAn
AtmanyevAtmanA,Atmani+eva+AtmanA
sTitaprajYastadocyate,sTita+prajYaH+tadA+ucyate
duHKezvanudvignamanAH,duHKezu+anudvigna+manAH
sTitaDIrmunirucyate,sTita+DIH+muniH+ucyate
sarvatrAnaBIsnehastattatprApya,sarvatra+anaBisnehaH+tat+tat+prApya
SuBASuBam,SuBa+aSuBam
nABinandati,na+aBinandati
pratizWitA,prati+sTitA
cAyaM kUrmo'NgAnIva,ca+ayam+kUrmaH+aNgAni+iva
indriyARIndriyArTeByastasya,indriyARi+indriya+arTeByaH+tasya
pratizWitA,prati+sTitA
nirAhArasya,niH+AhArasya
raso'pyasya,rasaH+api+asya
parandfzwvA,param+dfzwvA
yatato hyapi,yatataH+hi+api
prasaBaM manaH,prasaBam+manaH
matparaH,mat+paraH
yasyendriyARi,yasya+indriyARi
pratizWitA,prati+sTitA
DyAyato vizayAnpuMsaH,DyAyataH+vizayAn+puMsaH
saNgastezUpajAyate,saNgaH+tezu+upajAyate
saNgAtsaYjAyate,saNgAt+saYjAyate
kAmAtkroDo'BijAyate,kAmAt+kroDaH+aBijAyate
kroDAdBavati,kroDAt+Bavati
sammohAtsmftiviBramaH,sammohAt+smfti+viBramaH
smftiBraMSAdbudDinASo budDinASAtpraRaSyati,smfti+BraMSAt+budDi+nASaH+budDi+nASAt+praRaSyati
rAgadvezaviyuktEstu,rAga+dveza+viyuktEH+tu
vizayAnindriyEScaran,vizayAni+indriyEH+caran
AtmavaSyErviDeyAtmA,Atma+vaSyEH+viDeya+AtmA
prasAdamaDigacCati,prasAdam+aDigacCati
sarvaduHKAnAM hAnirasyopajAyate,sarvaduHKAnAm+hAniH+asya+upajAyate
prasannacetaso hyASu,prasanna+cetasaH+hi+ASu
paryavatizWate,pari+avatizWate
nAsti,na+asti
budDirayuktasya,budDiH+ayuktasya
cAyuktasya,ca+ayuktasya
cABAvayataH,ca+aBAvayataH
SAntiraSAntasya,SAntiH+aSAntasya
indriyARAM hi,indriyARAm+hi
caratAM yanmano'nuviDIyate,caratAm+yat+manaH+anuviDIyate
tadasya,tat+asya
prajYAM vAyurnAvamivAmBasi,prajYAm+vAyuH+nAvam+iva+amBasi
tasmAdyasya,tasmAt+yasya
mahAbAho nigfhItAni,mahA+bAhaH+nigfhItAni
indriyARIndriyArTeByastasya,indriyARi+indriya+arTeByaH+tasya
pratizWitA,prati+sTitA
sarvaBUtAnAntasyAYjAgarti,sarva+BUtAnAm+tasyAm+jAgarti
yasyAYjAgrati,yasyAm+jAgrati
paSyato muneH,paSyataH+muneH
ApUryamARamacalapratizWam,ApUryamARam+acala+pratizWam
samudramApaH,samudram+ApaH
yadvat,yat+vat
tadvatkAmA,tat+vat+kAmA
yampraviSanti,yam+praviSanti
sa SAntimApnoti,saH+SAntim+Apnoti
kAmAnyaH,kAmAn+yaH
pumAMScarati,pumAn+carati
nisspfhaH,niH+spfhaH
nirmamo nirahaNkAraH,niH+mamaH+niH+ahaNkAraH+
sa SAntimaDigacCati,saH+SAntim+aDigacCati
nEnAM prApya,na+enAm+prApya
sTitvAsyAmantakAle'pi,sTitvA+asyAm+anta+kAle+api
brahmanirvARamfcCati,brahma+nirvARam+fcCati
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde
dvitIyo'DyAyaH,dvitIyaH+aDyAyaH
tftIyo'DyAyaH,tftIyaH+aDyAyaH
arjuna uvAca,arjunaH+uvAca
karmaRaste,karmaRaH+te
budDirjanArdana,budDiH+jana+ardana
mAM niyojayasi,mAm+niyojayasi
vyAmiSreReva,vyAmiSreRa+iva
budDimmohayasIva,budDim+mohayasi+iva
tadekaM vada,tat+ekam+vada
Sreyo'hamApnuyAm,SreyaH+aham+ApnuyAm
SrIBagavAnuvAca,SrI+BagavAn+uvAca
loke'smin,loke+asmin
mayAnaGa,mayA+anaGa
sANKyAnAM karmayogena,sANKyAnAm+karmayogena
karmaRAmanAramBAnnEzkamryampuruzo'Snute,karmaRAm+anAramBAn+nEzkamryam+puruzaH+aSnute
sannyasanAdeva,sannyasanAt+eva
sidDiM samaDigacCati,#NAME?
kaScitkzaRamapi,kaH+cit+kzaRam+api
tizWatyakarmakft,tizWati+akarmakft
hyavaSaH,hi+avaSaH
prakftijErguREH,prakftijEH+guREH
karmendriyARi,karma+indriyARi
ya Aste,yaH+Aste
indriyArTAnvimUQAtmA,#NAME?
miTyAcAraH,miTyA+AcAraH
sa ucyate,saH+ucyate
yastvindriyARi,yaH+tu+indriyARi
niyamyAraBaterjuna,niyamya+AraBate+arjuna
karmayogamasaktaH,karma+yogam+asaktaH
sa viSizyate,saH+viSizyate
niyataNkuru,niyatam+kuru
tvaM karma,tvam+karma
jyAyo hyakarmaRaH,jyAyaH+hi+akarmaRaH
SarIrayAtrApi,SarIra+yAtrA+api
prasidDyedakarmaRaH,prasidDyet+akarmaRaH
yajYArTAtkarmaRo'nyatra,yajYa+arTAt+karmaRaH+anyatra
loko'yaM karmabanDanaH,lokaH+ayam+karma+banDanaH
tadarTaNkarma,tat+arTam+karma
samAcara,sam+Acara
purovAca,purA+uvAca
prasavizyaDvamezaH,prasavizyaDvam+ezaH
vo'stvizwakAmaDuk,vaH+astu+izwa+kAma+Duk
devAnBAvayatAnena,devAn+BAvayata+anena
devA BAvayantu,devAH+BAvayantu
parasparamBAvayantaH,paraH+param+BAvayantaH
paramavApsyaTa,param+ava+ApsyaTa
izwAnBogAnhi,izwAn+BogAn+hi
vo devA dAsyante,vaH+devAH+dAsyante
tErdattAnapradAyEByo yo BuNkte,tEH+dattAn+apradAya+eByaH+yaH+BuNkte
santo mucyante,santaH+mucyante
tvaGaM pApA ye,tu+aGam+pApA+ye
pacantyAtmakAraRAt,pacanti+Atma+kAraRAt
annAdBavanti,annAt+Bavanti
parjanyAdannasamBavaH,parjanyAt+anna+samBavaH
yajYAdBavati,yajYAt+Bavati
parjanyo yajYaH,parjanyaH+yajYaH
karmasamudBavaH,karma+sam+udBavaH
brahmodBavam,brahma+udBavam
brahmAkzarasamudBavam,brahma+akzara+sam+udBavam
tasmAtsarvagatambrahma,tasmAt+sarva+gatam+brahma
nityaM yajYe,nityam+yajYe
pratizWitam,prati+sTitam
evampravartitaYcakraM nAnuvartayatIha,evam+pravartitam+cakram+na+anu+vartayatI+iha
aGAyurindriyArAmo moGampArTa,aGAyuH+indriya+ArAmaH+moGam+pArTa
sa jIvati,saH+jIvati
yastAtmaratireva,yaH+tu+Atma+ratiH+eva
syAdAtmatfptaSca,syAt+Atma+tfptaH+ca
Atmanyeva,Atmani+eva
santuzwastasya,santuzwaH+tasya
kAryanna,kAryam+na
nEva,na+eva
kftenArTo nAkfteneha,kftena+arTaH+na+akftena
kaScana,kaH+cana
cAsya,ca+asya
kaScidarTavyapASrayaH,kaH+cit+arTa+vyapa+ASrayaH
tasmAdasaktaH,tasmAt+asaktaH
satataNkAryaNkarma,satatam+kAryam+karma
samAcara,sam+Acara
asakto hyAcarankarma,asaktaH+hi+Acaran+karma
paramApnoti,parama+Apnoti
karmaREva,karmaRA+eva
saMsidDimAsTitA,sam+sidDim+AsTitA
janakAdayaH,janaka+AdayaH
lokasaNgrahamevApi,loka+sam+graham+eva+api
sampaSyankartumarhasi,sam+paSyan+kartum+arhasi
yadyadAcarati,yat+yat+Acarati
SrezWastattadevetaro janaH,SrezWaH+tat+tat+eva+itaraH+janaH+
sa yatpramARaNkurute,saH+yat+pramARam+kurute
lokastadanuvartate,lokaH+tat+anuvartate
pArTAsti,pArTa+asti
kartavyantrizu,kartavyam+trizu
kiYcana,kim+cana
nAnavAptamavAptavyaM varta eva,na+an+avAptam+avAptavyam+vartaH+eva
hyahaM na,hi+aham+na
varteyaM jAtu,varteyam+jAtu
karmaRyatandritaH,karmaRi+atandritaH
vartmAnuvartante,vartma+anuvartante
utsIdeyurime,utsIdeyuH+ime
lokA na,lokAH+na
kuryANkarma,kuryAm+karma
cedaham,cet+aham
syAmupahanyAmimAH,syAm+upahanyAm+imAH
karmaRyavidvAMso yaTA,karmaRi+avidvAMsaH+yaTA
